D0	Normal
1007_s_at	-0.515837149231894	-4.33297778701949
1053_at	0.384092550739123	0.192778322656807
117_at	-3.16328779805566	-0.654747795611117
121_at	-0.643750803683742	-1.02428820654813
1294_at	-0.725104089221983	0.236713958030904
1316_at	-0.335329232422253	-0.29141990805278
1405_i_at	-0.239122033301605	-0.0710666339957893
1431_at	1.82195658070596	-1.48676111664788
1487_at	-2.5709603142582	1.92988445035211
1494_f_at	1.00148461818685	0.453040853551462
1598_g_at	-2.29757419232489	-6.99057284069065
160020_at	1.23288565656687	2.11157510359964
1729_at	-0.381770185770898	0.24985453629016
177_at	-2.0133301839305	-2.60390304415616
1773_at	-2.97793772812728	0.601813103963375
1861_at	0.55203262894096	1.67324811002604
200000_s_at	-0.138516883603726	-0.536065381352717
200001_at	-0.313189738205303	-0.0973558154829455
200002_at	0.0102438707314612	-0.332110086012605
200003_s_at	-0.149820034405503	-0.238772279139205
200004_at	-0.107705071394241	0.0416841216883697
200005_at	0.119468182330616	-0.597825861290049
200006_at	0.314922350073195	-0.144274546697106
200007_at	-0.136629348736159	-0.0777480724649919
200008_s_at	-0.349860975731481	-0.194107960960441
200009_at	-0.377569226954424	-0.334317995076763
200010_at	0.086613091681512	-0.241440149588961
200011_s_at	-0.455483999540586	-0.771314721310576
200012_x_at	-0.0479917259672398	-0.0583009640973131
200013_at	0.087868643622242	0.00175432660078023
200014_s_at	0.0533247652696485	-0.276126480399679
200015_s_at	0.593083351247678	0.223638235250364
200016_x_at	0.0679591221769336	0.0300974317599128
200017_at	0.0961648253118792	0.032943896315448
200018_at	0.153885059327349	-0.0726385635372768
200019_s_at	-0.242975022816887	-0.380335028232134
200020_at	0.4001322092906	-0.0110360732073023
200021_at	-0.328557410089148	0.0469180118693995
200022_at	0.0549152385584257	-0.195015056173736
200023_s_at	0.0158614206572825	-0.17126187731742
200024_at	0.0876001352131777	-0.437988759040707
200025_s_at	0.0868449452210225	-0.0811999223669293
200026_at	-0.334673522849824	-0.316363570746763
200027_at	0.194442477911119	0.0408265853485066
200028_s_at	0.573943386204952	0.328860725143311
200029_at	0.0455948447239845	-0.0558536884694973
200030_s_at	0.179313157713834	-0.276725813167081
200031_s_at	-0.0768700484645848	-0.1194559822983
200032_s_at	-0.0299578557175497	0.122620315994359
200033_at	-0.088310157607749	0.0254745376802514
200034_s_at	0.237392957899404	-0.0246585251785056
200035_at	-0.486845120349003	-0.346999373819447
200036_s_at	0.189935268551579	-0.114192165622745
200037_s_at	0.897971888751616	0.59202553192036
200038_s_at	-0.121039547045743	-0.172642112345008
200039_s_at	0.211297130888017	-0.117144812847011
200040_at	0.321159992908942	0.155854671138959
200041_s_at	0.237892788153056	0.140604790341788
200042_at	0.116908051213123	-0.400497540942988
200043_at	0.152336008388758	-0.254003403964603
200044_at	0.0654907505909854	-0.262878971389
200045_at	0.0107409759723218	-0.55432956172878
200046_at	-0.832036117189022	-0.22641690429513
200047_s_at	0.234528798563801	0.483303019997825
200048_s_at	0.0250134466957181	0.0566342982358989
200049_at	-0.649746409958546	-0.899589891377541
200050_at	0.74313947387401	1.13205936744399
200051_at	0.710822903102301	0.525829618675086
200052_s_at	-0.104807301141046	-0.386137071153453
200053_at	0.117566676460626	-0.16859725701311
200054_at	0.0211565306567696	-0.512925516101483
200055_at	-0.36957898549627	-0.150732255990569
200056_s_at	0.243447334909277	0.19225538700181
200057_s_at	-0.265371811792605	-0.141829082195773
200058_s_at	-0.220152578107717	-0.401652883625202
200059_s_at	-0.423010612289483	0.0473269851469365
200060_s_at	-0.174588354000246	-0.736471183364117
200061_s_at	-0.0555794806019332	-0.275706622080493
200062_s_at	-0.0338729047767288	0.0674526966437234
200063_s_at	0.227058874266669	0.176790635413333
200064_at	0.00777913035916811	-0.683900353659595
200065_s_at	-0.625812149859884	-0.802293569130889
200066_at	-0.0202476375833047	0.517613726725303
200067_x_at	-0.530840685056935	0.0800640248328506
200068_s_at	-0.264713365283034	-0.37188199112747
200069_at	0.335310880767297	0.13835529423749
200070_at	0.176019978345709	0.0453232356779196
200071_at	-0.0575573658562387	0.110121321448672
200072_s_at	-0.220336695130777	-0.479417231402383
200073_s_at	0.237970413673498	-0.107712366083137
200074_s_at	0.347567377816292	0.0528167088534488
200075_s_at	0.0638703597072112	0.369760304808544
200076_s_at	-0.551136677670756	-0.317335810497688
200077_s_at	-0.192516631653563	-0.0558880526056598
200078_s_at	-0.486214131371492	-0.813802724485775
200079_s_at	0.064844515147664	-0.56903454420055
200080_s_at	0.0872474334594315	0.12040245796142
200081_s_at	-0.169983518806296	-0.491833592879328
200082_s_at	0.0509969471481444	-0.282703451336426
200083_at	-0.213206685094166	-0.396954034241684
200084_at	0.266331373061922	0.203367035754516
200085_s_at	-0.242105985926862	-0.253426066550421
200086_s_at	0.200015306291501	-0.0619474367104207
200087_s_at	-0.00308156733678722	-0.43425083393074
200088_x_at	0.0259507275175324	-0.294586873839599
200089_s_at	0.247512546509139	-0.198550684700622
200090_at	0.101794315197013	0.24480385713732
200091_s_at	0.332118377275611	0.0483221178893363
200092_s_at	0.0399053425210294	-0.00146135350952292
200093_s_at	0.201355251195579	-0.28377385476365
200094_s_at	0.401482555084073	-0.424174338397226
200095_x_at	-0.0409122861072149	0.0268423211364581
200096_s_at	-0.794267956661926	-0.27218833902803
200097_s_at	0.364866926524419	0.0169753116572107
200098_s_at	0.255767611621549	-0.166198125221998
200099_s_at	0.0205061074667832	-0.013665116916421
200593_s_at	-0.0530143962877485	-0.299360391618007
200594_x_at	0.0879182127707807	-0.289149252288704
200595_s_at	0.715215464090244	0.0776228894319093
200596_s_at	0.126779528062299	-0.613286400125245
200597_at	0.707628676065733	0.0309288695534331
200598_s_at	-0.0144699670460504	-0.914175716447295
200599_s_at	0.00222224628827483	-0.426689703890538
200600_at	-1.05889346573463	-0.53410933370645
200601_at	0.34555707441962	0.24100290096913
200602_at	-0.0927237055980665	-0.0644370331502238
200603_at	-0.0101709352331589	0.449925850541339
200604_s_at	-0.178700047147185	-0.538776483722783
200605_s_at	-0.121813908617245	0.251225494362654
200606_at	-0.276134086059812	0.464278575067066
200607_s_at	0.0378696613671359	-0.217992498686719
200608_s_at	0.89260844399239	0.822387062475759
200609_s_at	-0.645870786283812	-0.125420504636208
200610_s_at	0.581570042490087	-0.176239174306918
200611_s_at	-0.582468048027943	-0.579888474907097
200612_s_at	-0.622143926360049	-0.743152813607116
200613_at	-0.690379290070874	-0.394712281724223
200614_at	1.94454919332347	0.354545040237705
200615_s_at	-0.65876024213107	-0.529177395822382
200616_s_at	-0.187541731373301	-1.08965893630153
200617_at	0.549885718367721	1.61094668384705
200618_at	-0.28652010650578	0.208122726261323
200619_at	-0.231910172743179	0.437099941427668
200620_at	-0.702819231518278	0.191121593589292
200621_at	0.0409559959887709	-0.103627338654425
200622_x_at	-0.205099978097591	-0.237474201126188
200623_s_at	0.181715510134385	0.112905195439605
200624_s_at	0.295251494559572	-0.163662144932262
200625_s_at	-0.625952370048093	0.122457875933195
200626_s_at	0.424008539014975	0.166416081678948
200627_at	0.313466726646348	0.000576181606072979
200628_s_at	-1.19640451935838	0.213318016469769
200629_at	-0.411676133918876	-0.891586349339981
200630_x_at	0.206191302727399	-0.464701106399342
200631_s_at	0.306604681168714	-0.178633686811073
200632_s_at	-2.19754893704784	-0.689898111381956
200633_at	-0.206913699514439	-0.165596887356886
200634_at	0.077136191711471	-0.576985941445846
200635_s_at	4.32486273330313	-0.681106664864862
200636_s_at	6.025457001506	0
200638_s_at	-0.434941343540576	-0.380393884276819
200639_s_at	-0.808896691393844	-0.0334926983476773
200640_at	-0.637048966022375	-0.317716697288617
200641_s_at	-0.761949348883524	-0.759552106128844
200642_at	-0.636378997433676	-0.398014505412222
200643_at	1.43076497030971	0.561455721904748
200644_at	-0.330999414523971	-1.52850284440021
200645_at	-0.462386934805563	-0.436769353805648
200646_s_at	2.45427721930005	2.36063998899484
200647_x_at	0.0346226600092372	-0.907320059679829
200648_s_at	0.839839171063442	-0.864544548548219
200649_at	0.592768830320777	-0.615694359687687
200650_s_at	0.229163306938375	-0.376252491045486
200651_at	0.0527311359280525	-0.0828681371113849
200652_at	-0.316345970029664	-0.571650831161133
200653_s_at	-0.752212309684287	-0.0789849131392728
200654_at	-0.738690904345253	-0.936260592206366
200655_s_at	-0.149574979116212	-0.0444035948009205
200656_s_at	-0.449345586112948	-0.755150858457725
200657_at	0.041009363791904	-0.538363766037275
200658_s_at	-0.184478339724544	0.0183501504315569
200659_s_at	-0.425425048468261	5.43232149582993
200660_at	-6.04143623285902	-0.477935621639286
200661_at	2.65490759235325	-0.470604574822527
200662_s_at	0.75432962011473	0.222013830392738
200663_at	-0.749822519872755	-0.331767301914937
200664_s_at	-1.44155815962199	-0.821862299870583
200665_s_at	-0.877913385394399	0.280449654688232
200666_s_at	-1.3463087718994	-0.765243116479988
200667_at	-0.241357936797968	0.209615678862436
200668_s_at	-0.041173106230902	0.0671332780243343
200669_s_at	-0.291536063232689	-0.334603155944196
200670_at	-0.911265692382955	-0.159201101208188
200671_s_at	0.536655622848661	-3.05031575320202
200672_x_at	0.292071683124378	-0.725270764863504
200673_at	0.0691286595462088	0.0122298327194894
200674_s_at	-0.149147281781655	-0.133756662850002
200675_at	-0.275525454869873	-1.1068033721786
200676_s_at	-0.117267274114327	0.126636094696567
